ip_src,ip_dst,proto,port_src,port_dst,label,loss
192.168.2.1,192.168.2.7,6,55424,36436,0,-1
192.168.2.1,192.168.2.7,6,55424,35092,0,-1
192.168.2.1,192.168.2.7,6,55424,30187,0,-1
192.168.2.7,192.168.2.1,6,30078,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,47380,0,-1
192.168.2.7,192.168.2.1,6,35521,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,17451,0,-1
192.168.2.7,192.168.2.1,6,35009,55424,0,-1
192.168.2.7,192.168.2.1,6,29886,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,6590,0,-1
192.168.2.1,192.168.2.7,6,55424,7934,0,-1
192.168.2.1,192.168.2.7,6,55424,57857,0,-1
192.168.2.1,192.168.2.7,6,55424,58305,0,-1
192.168.2.7,192.168.2.1,6,36417,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,6270,0,-1
192.168.2.1,192.168.2.7,6,55424,1790,0,-1
192.168.2.7,192.168.2.1,6,34177,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,64001,0,-1
169.254.174.17,224.0.0.252,17,5355,61872,1,-1
192.168.2.1,192.168.2.7,6,55424,21547,0,-1
192.168.2.7,192.168.2.1,6,30782,55424,0,-1
192.168.2.7,192.168.2.1,6,31934,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,23211,0,-1
192.168.2.7,192.168.2.1,6,32254,55424,0,-1
192.168.2.7,192.168.2.1,6,33473,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,41172,0,-1
192.168.2.7,192.168.2.1,6,32446,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,49428,0,-1
192.168.2.7,192.168.2.1,6,22078,55424,0,-1
192.168.2.7,192.168.2.1,6,43201,55424,0,-1
192.168.2.7,192.168.2.1,6,43713,55424,0,-1
192.168.2.7,192.168.2.1,6,43265,55424,0,-1
192.168.2.7,192.168.2.1,6,22206,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,13803,0,-1
192.168.2.7,192.168.2.1,6,20670,55424,0,-1
192.168.2.7,192.168.2.1,6,44609,55424,0,-1
192.168.2.7,192.168.2.1,6,44097,55424,0,-1
