ip_src,ip_dst,proto,port_src,port_dst,label,loss
192.168.2.7,192.168.2.1,6,1688,55424,0,-1
192.168.2.7,192.168.2.1,6,64231,55424,0,-1
192.168.2.7,192.168.2.1,6,1560,55424,0,-1
192.168.2.7,192.168.2.1,6,24,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,24201,0,-1
192.168.2.1,192.168.2.7,6,55424,27740,0,-1
192.168.2.1,192.168.2.7,6,55424,37027,0,-1
192.168.2.1,192.168.2.7,6,55424,50486,0,-1
192.168.2.1,192.168.2.7,6,55424,40931,0,-1
192.168.2.1,192.168.2.7,6,55424,13961,0,-1
192.168.2.1,192.168.2.7,6,55424,53878,0,-1
192.168.2.7,192.168.2.1,6,57127,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,8649,0,-1
192.168.2.7,192.168.2.1,6,52519,55424,0,-1
192.168.2.7,192.168.2.1,6,53159,55424,0,-1
192.168.2.7,192.168.2.1,6,52455,55424,0,-1
192.168.2.7,192.168.2.1,6,50983,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,23964,0,-1
192.168.2.7,192.168.2.1,6,38503,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,37660,0,-1
192.168.2.1,192.168.2.7,6,55424,52873,0,-1
192.168.2.1,192.168.2.7,6,55424,10870,0,-1
192.168.2.7,192.168.2.1,6,25624,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,35548,0,-1
192.168.2.7,192.168.2.1,6,24728,55424,0,-1
192.168.2.7,192.168.2.1,6,25432,55424,0,-1
192.168.2.7,192.168.2.1,6,40743,55424,0,-1
192.168.2.7,192.168.2.1,6,35431,55424,0,-1
192.168.2.7,192.168.2.1,6,36263,55424,0,-1
192.168.2.7,192.168.2.1,6,29336,55424,0,-1
192.168.2.7,192.168.2.1,6,29656,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,63497,0,-1
192.168.2.7,192.168.2.1,6,31192,55424,0,-1
192.168.2.7,192.168.2.1,6,32408,55424,0,-1
192.168.2.7,192.168.2.1,6,33575,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,12451,0,-1
192.168.2.1,192.168.2.7,6,55424,31670,0,-1
192.168.2.7,192.168.2.1,6,41575,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,56028,0,-1
192.168.2.7,192.168.2.1,6,19416,55424,0,-1
192.168.2.7,192.168.2.1,6,45799,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,46921,0,-1
192.168.2.7,192.168.2.1,6,45479,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,21430,0,-1
192.168.2.1,192.168.2.7,6,55424,23798,0,-1
192.168.2.7,192.168.2.1,6,59736,55424,0,-1
192.168.2.7,192.168.2.1,6,61080,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,12296,0,-1
192.168.2.1,192.168.2.7,6,55424,33122,0,-1
192.168.2.1,192.168.2.7,6,55424,32157,0,-1
192.168.2.1,192.168.2.7,6,55424,60343,0,-1
192.168.2.1,192.168.2.7,6,55424,17501,0,-1
192.168.2.1,192.168.2.7,6,55424,60023,0,-1
192.168.2.1,192.168.2.7,6,55424,46626,0,-1
192.168.2.7,192.168.2.1,6,63832,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,62071,0,-1
192.168.2.7,192.168.2.1,6,53912,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,34103,0,-1
192.168.2.7,192.168.2.1,6,56856,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,29128,0,-1
192.168.2.1,192.168.2.7,6,55424,59554,0,-1
192.168.2.1,192.168.2.7,6,55424,65058,0,-1
192.168.2.7,192.168.2.1,6,50840,55424,0,-1
192.168.2.7,192.168.2.1,6,14759,55424,0,-1
192.168.2.7,192.168.2.1,6,14951,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,41911,0,-1
192.168.2.1,192.168.2.7,6,55424,27255,0,-1
