ip_src,ip_dst,proto,port_src,port_dst,label,loss
192.168.2.1,192.168.2.7,6,55424,59448,0,-1
192.168.2.1,192.168.2.7,6,55424,63992,0,-1
192.168.2.1,192.168.2.7,6,55424,44141,0,-1
192.168.2.1,192.168.2.7,6,55424,22866,0,-1
192.168.2.1,192.168.2.7,6,55424,63160,0,-1
192.168.2.1,192.168.2.7,6,55424,49899,0,-1
192.168.2.1,192.168.2.7,6,55424,27841,0,-1
192.168.2.1,192.168.2.7,6,55424,51947,0,-1
192.168.2.1,192.168.2.7,6,55424,53995,0,-1
192.168.2.7,192.168.2.1,6,6478,55424,0,-1
192.168.2.7,192.168.2.1,6,59313,55424,0,-1
192.168.2.7,192.168.2.1,6,62257,55424,0,-1
192.168.2.7,192.168.2.1,6,64305,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,23809,0,-1
192.168.2.1,192.168.2.7,6,55424,2388,0,-1
192.168.2.7,192.168.2.1,6,14,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,28628,0,-1
192.168.2.1,192.168.2.7,6,55424,28180,0,-1
192.168.2.7,192.168.2.1,6,11790,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,52926,0,-1
192.168.2.1,192.168.2.7,6,55424,30868,0,-1
192.168.2.1,192.168.2.7,6,55424,17940,0,-1
192.168.2.1,192.168.2.7,6,55424,59070,0,-1
192.168.2.7,192.168.2.1,6,52849,55424,0,-1
192.168.2.7,192.168.2.1,6,14670,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,20628,0,-1
192.168.2.1,192.168.2.7,6,55424,22868,0,-1
192.168.2.1,192.168.2.7,6,55424,39252,0,-1
192.168.2.7,192.168.2.1,6,28494,55424,0,-1
192.168.2.7,192.168.2.1,6,39537,55424,0,-1
192.168.2.7,192.168.2.1,6,29838,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,23979,0,-1
192.168.2.1,192.168.2.7,6,55424,53204,0,-1
192.168.2.7,192.168.2.1,6,20494,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,11691,0,-1
192.168.2.7,192.168.2.1,6,41393,55424,0,-1
192.168.2.7,192.168.2.1,6,46385,55424,0,-1
192.168.2.7,192.168.2.1,6,19918,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,45953,0,-1
192.168.2.1,192.168.2.7,6,55424,61588,0,-1
192.168.2.1,192.168.2.7,6,55424,24446,0,-1
192.168.2.1,192.168.2.7,6,55424,28629,0,-1
192.168.2.1,192.168.2.7,6,55424,32725,0,-1
192.168.2.7,192.168.2.1,6,6769,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,20437,0,-1
192.168.2.7,192.168.2.1,6,61774,55424,0,-1
192.168.2.7,192.168.2.1,6,11057,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,25472,0,-1
192.168.2.7,192.168.2.1,6,11505,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,31936,0,-1
192.168.2.7,192.168.2.1,6,52174,55424,0,-1
192.168.2.7,192.168.2.1,6,13617,55424,0,-1
192.168.2.7,192.168.2.1,6,13553,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,58474,0,-1
192.168.2.1,192.168.2.7,6,55424,45119,0,-1
192.168.2.1,192.168.2.7,6,55424,25087,0,-1
192.168.2.7,192.168.2.1,6,37006,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,10986,0,-1
192.168.2.7,192.168.2.1,6,25521,55424,0,-1
192.168.2.7,192.168.2.1,6,24881,55424,0,-1
192.168.2.7,192.168.2.1,6,35470,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,18111,0,-1
192.168.2.7,192.168.2.1,6,35982,55424,0,-1
192.168.2.7,192.168.2.1,6,31537,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,20991,0,-1
192.168.2.7,192.168.2.1,6,33102,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,28074,0,-1
192.168.2.1,192.168.2.7,6,55424,39061,0,-1
192.168.2.1,192.168.2.7,6,55424,25706,0,-1
192.168.2.1,192.168.2.7,6,55424,12351,0,-1
192.168.2.7,192.168.2.1,6,22769,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,11967,0,-1
192.168.2.7,192.168.2.1,6,41486,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,56192,0,-1
192.168.2.7,192.168.2.1,6,46414,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,17130,0,-1
192.168.2.7,192.168.2.1,6,20081,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,64704,0,-1
192.168.2.7,192.168.2.1,6,49102,55424,0,-1
192.168.2.7,192.168.2.1,6,16497,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,37014,0,-1
192.168.2.7,192.168.2.1,6,5744,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,25705,0,-1
192.168.2.1,192.168.2.7,6,55424,29801,0,-1
192.168.2.7,192.168.2.1,6,7472,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,57923,0,-1
192.168.2.7,192.168.2.1,6,1776,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,41302,0,-1
192.168.2.1,192.168.2.7,6,55424,23273,0,-1
192.168.2.1,192.168.2.7,6,55424,23657,0,-1
192.168.2.1,192.168.2.7,6,55424,26300,0,-1
192.168.2.1,192.168.2.7,6,55424,53590,0,-1
192.168.2.1,192.168.2.7,6,55424,54806,0,-1
192.168.2.7,192.168.2.1,6,55439,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,55446,0,-1
192.168.2.1,192.168.2.7,6,55424,4841,0,-1
192.168.2.1,192.168.2.7,6,55424,46275,0,-1
192.168.2.1,192.168.2.7,6,55424,18940,0,-1
192.168.2.7,192.168.2.1,6,50511,55424,0,-1
192.168.2.7,192.168.2.1,6,50831,55424,0,-1
192.168.2.7,192.168.2.1,6,51151,55424,0,-1
192.168.2.7,192.168.2.1,6,50703,55424,0,-1
192.168.2.7,192.168.2.1,6,38863,55424,0,-1
192.168.2.7,192.168.2.1,6,38415,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,25475,0,-1
192.168.2.1,192.168.2.7,6,55424,25859,0,-1
192.168.2.1,192.168.2.7,6,55424,32828,0,-1
192.168.2.1,192.168.2.7,6,55424,32003,0,-1
192.168.2.1,192.168.2.7,6,55424,34876,0,-1
192.168.2.7,192.168.2.1,6,39951,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,7702,0,-1
192.168.2.7,192.168.2.1,6,33807,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,62569,0,-1
192.168.2.7,192.168.2.1,6,21936,55424,0,-1
192.168.2.7,192.168.2.1,6,42959,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,36265,0,-1
192.168.2.1,192.168.2.7,6,55424,45865,0,-1
192.168.2.7,192.168.2.1,6,47119,55424,0,-1
192.168.2.7,192.168.2.1,6,17136,55424,0,-1
192.168.2.7,192.168.2.1,6,48975,55424,0,-1
192.168.2.7,192.168.2.1,6,5775,55424,0,-1
192.168.2.7,192.168.2.1,6,60720,55424,0,-1
192.168.2.7,192.168.2.1,6,58992,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,35714,0,-1
192.168.2.1,192.168.2.7,6,55424,59543,0,-1
192.168.2.7,192.168.2.1,6,63216,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,16445,0,-1
192.168.2.1,192.168.2.7,6,55424,57687,0,-1
192.168.2.7,192.168.2.1,6,63600,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,63831,0,-1
192.168.2.1,192.168.2.7,6,55424,744,0,-1
192.168.2.1,192.168.2.7,6,55424,43906,0,-1
192.168.2.7,192.168.2.1,6,15,55424,0,-1
192.168.2.7,192.168.2.1,6,54576,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,40471,0,-1
192.168.2.7,192.168.2.1,6,55536,55424,0,-1
192.168.2.7,192.168.2.1,6,56560,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,17128,0,-1
192.168.2.7,192.168.2.1,6,52336,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,19880,0,-1
192.168.2.1,192.168.2.7,6,55424,1917,0,-1
192.168.2.1,192.168.2.7,6,55424,509,0,-1
192.168.2.1,192.168.2.7,6,55424,26967,0,-1
192.168.2.7,192.168.2.1,6,37680,55424,0,-1
192.168.2.7,192.168.2.1,6,39344,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,5314,0,-1
192.168.2.1,192.168.2.7,6,55424,1282,0,-1
192.168.2.7,192.168.2.1,6,44976,55424,0,-1
192.168.2.7,192.168.2.1,6,44464,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,29250,0,-1
192.168.2.7,192.168.2.1,6,41072,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,29890,0,-1
192.168.2.7,192.168.2.1,6,47920,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,23746,0,-1
192.168.2.1,192.168.2.7,6,55424,15140,0,-1
192.168.2.1,192.168.2.7,6,55424,15076,0,-1
192.168.2.7,192.168.2.1,6,4426,55424,0,-1
192.168.2.7,192.168.2.1,6,58101,55424,0,-1
192.168.2.7,192.168.2.1,6,7626,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,48334,0,-1
192.168.2.1,192.168.2.7,6,55424,6884,0,-1
192.168.2.1,192.168.2.7,6,55424,20977,0,-1
192.168.2.7,192.168.2.1,6,64821,55424,0,-1
192.168.2.7,192.168.2.1,6,11594,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,25316,0,-1
192.168.2.1,192.168.2.7,6,55424,40923,0,-1
192.168.2.7,192.168.2.1,6,55541,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,6641,0,-1
192.168.2.7,192.168.2.1,6,51125,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,23652,0,-1
192.168.2.7,192.168.2.1,6,27146,55424,0,-1
192.168.2.7,192.168.2.1,6,37621,55424,0,-1
192.168.2.7,192.168.2.1,6,27658,55424,0,-1
192.168.2.7,192.168.2.1,6,26250,55424,0,-1
192.168.2.7,192.168.2.1,6,40245,55424,0,-1
192.168.2.7,192.168.2.1,6,40053,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,47844,0,-1
192.168.2.1,192.168.2.7,6,55424,16539,0,-1
192.168.2.7,192.168.2.1,6,30346,55424,0,-1
192.168.2.7,192.168.2.1,6,29514,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,49956,0,-1
192.168.2.7,192.168.2.1,6,20490,55424,0,-1
192.168.2.7,192.168.2.1,6,20618,55424,0,-1
192.168.2.7,192.168.2.1,6,18570,55424,0,-1
192.168.2.7,192.168.2.1,6,18890,55424,0,-1
192.168.2.7,192.168.2.1,6,19978,55424,0,-1
192.168.2.7,192.168.2.1,6,48053,55424,0,-1
192.168.2.7,192.168.2.1,6,60362,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,50383,0,-1
192.168.2.7,192.168.2.1,6,5045,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,25381,0,-1
192.168.2.1,192.168.2.7,6,55424,32922,0,-1
192.168.2.7,192.168.2.1,6,58826,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,32165,0,-1
192.168.2.7,192.168.2.1,6,7413,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,9904,0,-1
192.168.2.7,192.168.2.1,6,2165,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,6640,0,-1
192.168.2.1,192.168.2.7,6,55424,19237,0,-1
192.168.2.7,192.168.2.1,6,64458,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,23973,0,-1
192.168.2.1,192.168.2.7,6,55424,13029,0,-1
192.168.2.1,192.168.2.7,6,55424,56858,0,-1
192.168.2.7,192.168.2.1,6,8949,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,9317,0,-1
192.168.2.7,192.168.2.1,6,14133,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,61402,0,-1
192.168.2.7,192.168.2.1,6,14261,55424,0,-1
192.168.2.7,192.168.2.1,6,50506,55424,0,-1
192.168.2.7,192.168.2.1,6,14645,55424,0,-1
192.168.2.7,192.168.2.1,6,49994,55424,0,-1
192.168.2.1,192.168.2.7,6,55424,36912,0,-1
192.168.2.7,192.168.2.1,6,39754,55424,0,-1
192.168.2.7,192.168.2.1,6,25013,55424,0,-1
192.168.2.7,192.168.2.1,6,34250,55424,0,-1
192.168.2.7,192.168.2.1,6,32565,55424,0,-1
